CustomerID,Cluster
C0199,0
C0146,0
C0127,0
C0087,0
C0070,3
C0188,0
C0195,3
C0008,0
C0157,3
C0130,0
C0051,3
C0075,0
C0155,0
C0092,0
C0088,0
C0109,3
C0041,3
C0101,0
C0154,4
C0200,3
C0049,4
C0103,4
C0028,3
C0183,3
C0087,3
C0190,3
C0200,4
C0055,0
C0188,0
C0148,3
C0035,3
C0120,3
C0017,3
C0145,0
C0028,0
C0092,3
C0188,0
C0004,0
C0087,0
C0010,4
C0065,4
C0132,4
C0068,4
C0123,4
C0018,0
C0064,4
C0121,4
C0041,0
C0070,0
C0161,4
C0173,4
C0132,0
C0150,0
C0176,1
C0167,0
C0184,0
C0184,0
C0034,0
C0053,1
C0102,0
C0134,1
C0086,0
C0036,3
C0056,0
C0076,3
C0194,0
C0146,3
C0124,1
C0053,3
C0065,0
C0024,0
C0004,1
C0139,0
C0133,1
C0173,2
C0076,0
C0012,3
C0184,0
C0128,0
C0158,1
C0012,1
C0133,3
C0164,2
C0067,4
C0142,4
C0121,4
C0032,4
C0063,4
C0113,4
C0136,4
C0017,4
C0194,4
C0172,4
C0068,0
C0125,4
C0086,3
C0002,0
C0008,4
C0017,0
C0122,3
C0109,3
C0071,3
C0162,0
C0141,2
C0155,3
C0156,3
C0188,2
C0064,0
C0183,3
C0191,2
C0147,0
C0087,1
C0028,1
C0138,2
C0153,3
C0043,3
C0135,3
C0122,3
C0091,2
C0168,2
C0012,2
C0069,3
C0184,0
C0125,3
C0173,0
C0066,2
C0186,0
C0023,1
C0101,1
C0105,4
C0072,0
C0093,4
C0009,4
C0162,0
C0083,4
C0001,4
C0039,4
C0124,4
C0165,4
C0143,4
C0165,4
C0038,4
C0019,4
C0083,4
C0073,4
C0156,4
C0047,4
C0190,4
C0086,4
C0171,4
C0181,4
C0072,4
C0108,4
C0090,4
C0126,4
C0056,4
C0106,4
C0166,3
C0088,3
C0069,3
C0113,3
C0086,3
C0125,3
C0192,0
C0074,0
C0162,0
C0048,3
C0122,3
C0006,4
C0142,0
C0139,4
C0048,0
C0171,4
C0119,4
C0184,0
C0186,0
C0071,4
C0193,4
C0148,0
C0027,4
C0191,0
C0153,2
C0101,2
C0161,3
C0103,3
C0047,0
C0156,3
C0079,3
C0193,1
C0145,4
C0109,0
C0004,0
C0082,0
C0181,4
C0065,0
C0025,0
C0111,4
C0160,4
C0159,4
C0093,4
C0008,4
C0117,4
C0061,1
C0090,1
C0028,1
C0189,1
C0037,2
C0145,3
C0021,0
C0099,2
C0012,0
C0167,0
C0052,0
C0114,0
C0163,0
C0102,4
C0119,4
C0038,4
C0182,0
C0065,0
C0200,0
C0052,0
C0178,4
C0090,0
C0018,0
C0081,0
C0006,3
C0197,3
C0100,0
C0116,3
C0122,0
C0149,1
C0127,0
C0178,1
C0075,1
C0106,3
C0059,1
C0026,3
C0195,3
C0027,4
C0153,4
C0178,4
C0109,4
C0135,4
C0172,4
C0101,4
C0137,4
C0012,4
C0169,4
C0094,4
C0111,4
C0136,4
C0046,4
C0147,4
C0152,4
C0131,4
C0116,4
C0157,4
C0175,4
C0043,4
C0076,4
C0124,3
C0021,2
C0041,2
C0057,2
C0126,2
C0165,2
C0171,1
C0006,1
C0093,0
C0106,0
C0136,0
C0175,0
C0075,0
C0046,0
C0128,0
C0014,0
C0022,4
C0159,0
C0195,0
C0193,1
C0059,0
C0082,1
C0081,0
C0160,0
C0165,2
C0139,3
C0008,0
C0035,1
C0104,0
C0187,1
C0185,1
C0098,3
C0042,2
C0026,0
C0141,2
C0103,0
C0149,2
C0081,2
C0142,1
C0093,1
C0158,2
C0093,2
C0113,0
C0159,1
C0042,0
C0188,2
C0175,0
C0143,1
C0155,3
C0099,3
C0139,0
C0092,0
C0141,3
C0092,2
C0067,0
C0083,0
C0010,1
C0101,3
C0013,1
C0029,1
C0093,0
C0035,4
C0045,0
C0084,4
C0118,4
C0039,4
C0075,0
C0069,0
C0084,0
C0157,0
C0197,0
C0091,0
C0084,0
C0076,0
C0049,0
C0102,0
C0022,0
C0152,4
C0102,0
C0139,0
C0118,4
C0047,0
C0153,0
C0156,4
C0112,0
C0056,3
C0172,0
C0085,1
C0140,2
C0096,3
C0098,0
C0007,0
C0181,3
C0162,1
C0009,0
C0155,0
C0112,1
C0156,2
C0177,1
C0170,0
C0085,0
C0136,1
C0081,3
C0011,0
C0018,1
C0046,0
C0087,3
C0189,0
C0041,3
C0174,0
C0005,3
C0004,0
C0003,3
C0162,3
C0141,0
C0021,0
C0064,3
C0055,1
C0096,1
C0049,3
C0039,3
C0173,0
C0018,3
C0019,3
C0064,3
C0034,3
C0098,0
C0026,3
C0084,3
C0197,0
C0113,4
C0113,4
C0062,4
C0098,4
C0067,4
C0190,4
C0160,4
C0060,4
C0166,4
C0172,4
C0043,4
C0161,4
C0109,0
C0109,4
C0156,0
C0077,4
C0148,1
C0168,1
C0072,2
C0048,0
C0192,1
C0005,3
C0096,2
C0016,0
C0102,1
C0114,1
C0088,0
C0053,2
C0124,0
C0192,0
C0153,3
C0190,1
C0051,0
C0111,1
C0016,0
C0046,3
C0105,1
C0097,4
C0065,0
C0154,4
C0035,0
C0179,0
C0160,0
C0194,0
C0188,0
C0025,4
C0140,4
C0124,4
C0199,0
C0104,0
C0121,0
C0001,0
C0085,3
C0039,3
C0098,0
C0136,3
C0158,0
C0182,1
C0157,0
C0185,3
C0086,0
C0080,3
C0137,3
C0177,3
C0045,1
C0021,3
C0152,1
C0068,1
C0040,3
C0062,3
C0009,0
C0029,0
C0195,3
C0145,0
C0022,1
C0087,3
C0179,0
C0175,0
C0100,3
C0024,3
C0104,1
C0027,1
C0156,0
C0062,0
C0017,0
C0156,3
C0129,1
C0098,0
C0106,0
C0028,3
C0105,4
C0008,0
C0107,0
C0047,1
C0013,3
C0032,0
C0122,2
C0090,1
C0141,2
C0084,1
C0054,1
C0144,1
C0047,0
C0163,0
C0045,1
C0152,0
C0163,1
C0037,3
C0012,0
C0172,3
C0166,3
C0089,3
C0170,3
C0126,3
C0127,0
C0139,0
C0179,2
C0173,3
C0065,2
C0023,3
C0082,3
C0050,3
C0171,2
C0015,0
C0037,0
C0129,3
C0187,0
C0162,3
C0079,3
C0172,3
C0100,1
C0049,4
C0077,4
C0189,4
C0091,4
C0082,4
C0173,4
C0111,4
C0183,4
C0053,4
C0033,4
C0108,4
C0010,4
C0147,4
C0041,3
C0169,3
C0148,3
C0161,0
C0119,0
C0134,3
C0108,0
C0039,3
C0136,3
C0024,0
C0017,0
C0001,0
C0164,0
C0059,0
C0020,3
C0045,3
C0021,0
C0007,3
C0044,0
C0117,3
C0104,1
C0119,0
C0026,1
C0161,0
C0075,0
C0051,2
C0073,3
C0171,2
C0104,0
C0011,3
C0013,2
C0169,2
C0137,3
C0131,3
C0023,0
C0167,1
C0175,3
C0042,0
C0099,1
C0147,0
C0155,2
C0185,1
C0154,1
C0025,3
C0100,0
C0200,2
C0174,2
C0141,2
C0118,2
C0068,2
C0183,3
C0008,1
C0169,1
C0099,3
C0165,1
C0141,1
C0084,3
C0118,0
C0049,0
C0021,1
C0048,3
C0034,3
C0107,1
C0056,3
C0055,3
C0022,2
C0192,4
C0174,4
C0193,4
C0012,4
C0175,4
C0021,4
C0075,4
C0090,4
C0098,4
C0011,0
C0094,0
C0120,3
C0109,0
C0113,3
C0068,0
C0170,3
C0127,0
C0191,0
C0114,3
C0072,0
C0050,3
C0096,0
C0179,3
C0068,0
C0046,1
C0023,0
C0126,3
C0037,3
C0147,3
C0175,0
C0094,0
C0146,3
C0101,0
C0017,1
C0116,0
C0045,0
C0068,4
C0101,0
C0156,0
C0013,4
C0021,4
C0101,4
C0129,0
C0019,0
C0024,3
C0071,0
C0036,0
C0191,4
C0105,0
C0045,0
C0017,0
C0189,0
C0007,1
C0118,0
C0079,1
C0179,0
C0100,0
C0031,0
C0141,0
C0161,4
C0029,4
C0111,4
C0147,4
C0081,4
C0055,4
C0054,4
C0198,4
C0049,4
C0149,4
C0103,4
C0051,4
C0003,0
C0181,0
C0139,4
C0134,0
C0017,0
C0081,0
C0124,0
C0053,4
C0037,0
C0138,0
C0104,4
C0177,4
C0107,0
C0030,0
C0142,4
C0034,0
C0109,0
C0011,0
C0029,4
C0088,4
C0041,4
C0175,2
C0198,3
C0096,2
C0141,0
C0054,1
C0013,0
C0116,0
C0200,1
C0106,1
C0024,0
C0194,4
C0157,4
C0176,0
C0024,0
C0055,0
C0126,4
C0113,0
C0116,4
C0147,0
C0064,2
C0019,0
C0196,1
C0016,2
C0052,1
C0187,2
C0156,0
C0194,1
C0051,2
C0023,1
C0141,1
C0191,0
C0001,3
C0183,1
C0016,0
C0046,3
C0184,3
C0154,3
C0066,1
C0168,2
C0131,3
C0174,3
C0054,1
C0115,2
C0155,3
C0084,0
C0139,3
C0019,0
C0160,2
C0114,2
C0084,4
C0088,4
C0008,4
C0164,4
C0144,4
C0025,4
C0061,4
C0134,4
C0003,4
C0099,4
C0122,4
C0195,4
C0057,4
C0075,4
C0031,4
C0030,4
C0032,4
C0034,4
C0143,4
C0034,4
C0094,4
C0010,4
C0002,0
C0164,4
C0030,4
C0173,4
C0137,4
C0008,4
C0091,0
C0105,2
C0165,1
C0146,0
C0050,1
C0069,3
C0001,1
C0027,3
C0082,3
C0087,2
C0100,2
C0120,3
C0102,1
C0163,2
C0065,2
C0190,0
C0109,0
C0116,3
C0075,3
C0182,1
C0122,3
C0077,0
C0070,1
C0063,1
C0168,0
C0004,3
C0057,0
C0028,1
C0166,0
C0028,0
C0187,0
C0066,0
C0039,1
C0145,0
C0153,0
C0016,3
C0145,1
C0117,1
C0125,3
C0074,1
C0070,0
C0002,3
C0079,2
C0156,1
C0170,2
C0117,2
C0082,2
C0178,1
C0059,2
C0138,2
C0076,0
C0109,3
C0040,2
C0196,2
C0006,2
C0030,0
C0013,2
C0114,1
C0102,3
C0182,2
C0067,1
C0058,0
C0040,2
C0046,2
C0169,4
C0165,4
C0165,4
C0165,4
C0163,1
C0067,1
